job_title,url,posted_date,job_country_code,is_remote,job_location,job_description,salary,company_name
"Associate Manager, D&Ai Data Operations, IBP Program sustain",https://pepsicojobs.com/jobs/369022/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,24-03-2025,IN,TRUE,"Hyderabad, Telangana","Overview:
* Seeking an Associate Manager, Data Operations, to support our growing data organization. In this role, you will assist in maintaining data pipelines and corresponding platforms (on\\-prem and cloud) while working closely with global teams on DataOps initiatives.
* Support the day\\-to\\-day operations of data pipelines, ensuring data governance, reliability, and performance optimization on Microsoft Azure. Hands\\-on experience with Azure Data Factory (ADF), Azure Synapse Analytics, Azure Databricks, and real\\-time streaming architectures is preferred.
* Assist in ensuring the availability, scalability, automation, and governance of enterprise data pipelines supporting analytics, AI/ML, and business intelligence.
* Contribute to DataOps programs, aligning with business objectives, data governance standards, and enterprise data strategy.
* Help implement real\\-time data observability, monitoring, and automation frameworks to improve data reliability, quality, and operational efficiency.
* Support the development of governance models and execution roadmaps to enhance efficiency across Azure, AWS, GCP, and on\\-prem environments.
* Work on CI/CD integration, data pipeline automation, and self\\-healing capabilities to improve enterprise\\-wide DataOps processes.
* Collaborate with cross\\-functional teams to support and maintain next\\-generation Data \\& Analytics platforms while promoting an agile and high\\-performing DataOps culture.
* Assist in the adoption of Data \\& Analytics technology transformations, ensuring automation for proactive issue identification and resolution.
* Partner with cross\\-functional teams to support process improvements, best practices, and operational efficiencies within DataOps.


Responsibilities:
* Assist in the implementation and optimization of enterprise\\-scale data pipelines using Azure Data Factory (ADF), Azure Synapse Analytics, Azure Databricks, and Azure Stream Analytics.
* Support data ingestion, transformation, orchestration, and storage workflows, ensuring data reliability, integrity, and availability.
* Help ensure seamless batch, real\\-time, and streaming data processing, focusing on high availability and fault tolerance.
* Contribute to DataOps automation efforts, including CI/CD for data pipelines, automated testing, and version control using Azure DevOps and Terraform.
* Collaborate with Data Engineering, Analytics, AI/ML, CloudOps, and Business Intelligence teams to support data\\-driven decision\\-making.
* Assist in aligning DataOps practices with regulatory and security requirements by working with IT, data stewards, and compliance teams.
* Support data operations and sustainment activities, including testing and monitoring processes for global products and projects.
* Participate in data capture, storage, integration, governance, and analytics efforts, working alongside cross\\-functional teams.
* Assist in managing day\\-to\\-day DataOps activities, ensuring adherence to service\\-level agreements (SLAs) and business requirements.
* Engage with SMEs and business stakeholders to ensure data platform capabilities align with business needs.
* Contribute to Agile work intake and execution processes, helping to maintain efficiency in data platform teams.
* Help troubleshoot and resolve issues related to cloud infrastructure and data services in collaboration with technical teams.
* Support the development and automation of operational policies and procedures, improving efficiency and resilience.
* Assist in incident response and root cause analysis, contributing to self\\-healing mechanisms and mitigation strategies.
* Foster a customer\\-centric approach, advocating for operational excellence and continuous improvement in service delivery.
* Help build a collaborative, high\\-performing team culture, promoting automation and efficiency within DataOps.
* Adapt to shifting priorities and support cross\\-functional teams in maintaining productivity and achieving business goals.
* Utilize technical expertise in cloud and data operations to support service reliability and scalability.


Qualifications:
* 5\\+ years of technology work experience in a large\\-scale global organization, with CPG industry experience preferred.
* 5\\+ years of experience in Data \\& Analytics roles, with hands\\-on expertise in data operations and governance.
* 2\\+ years of experience working within a cross\\-functional IT organization, collaborating with multiple teams.
* Experience in a lead or senior support role, with a focus on DataOps execution and delivery.
* Strong communication skills, with the ability to collaborate with stakeholders and articulate technical concepts to non\\-technical audiences.
* Analytical and problem\\-solving abilities, with a focus on prioritizing customer needs and operational improvements.
* Customer\\-focused mindset, ensuring high\\-quality service delivery and operational efficiency.
* Growth mindset, with a willingness to learn and adapt to new technologies and methodologies in a fast\\-paced environment.
* Experience supporting data operations in a Microsoft Azure environment, including data pipeline automation.
* Familiarity with Site Reliability Engineering (SRE) principles, such as monitoring, automated issue remediation, and scalability improvements.
* Understanding of operational excellence in complex, high\\-availability data environments.
* Ability to collaborate across teams, building strong relationships with business and IT stakeholders.
* Basic understanding of data management concepts, including master data management, data governance, and analytics.
* Knowledge of data acquisition, data catalogs, data standards, and data management tools.
* Strong execution and organizational skills, with the ability to follow through on operational plans and drive measurable results.
* Adaptability in a dynamic, fast\\-paced environment, with the ability to shift priorities while maintaining productivity.
",10000,PepsiCo
NodeJs Backend Developer,http://in.indeed.com/job/nodejs-backend-developer-bacd7bec7c83f0f8,24-03-2025,IN,FALSE,"Kochi H.O, Kochi, Kerala","We are looking for a **Node.js Backend Developer** with **2\\+ years of experience** to join our development team. The ideal candidate should have hands\\-on experience in building scalable backend applications, designing RESTful APIs, and working with databases. You will be responsible for developing high\\-performance server\\-side applications while ensuring security, scalability, and efficiency.

**Key Responsibilities:**

* Develop, test, and maintain **server\\-side applications** using **Node.js and Express.js/NestJS**.
* Design, implement, and optimise **RESTful APIs** for seamless front\\-end integration.
* Work with **databases (MongoDB, PostgreSQL, MySQL)** for efficient data storage and retrieval.
* Implement **authentication and security** best practices (JWT, OAuth, encryption).
* Optimise application performance and scalability.
* Debug and resolve technical issues, ensuring system stability.
* Collaborate with front\\-end developers and cross\\-functional teams.
* Write and maintain unit and integration tests to ensure code quality.
* Stay up\\-to\\-date with the latest **Node.js trends, tools, and best practices**.

**Required Skills:**

✅ **Programming:** Node.js, JavaScript, TypeScript  
✅ **Frameworks:** Express.js, NestJS (or other relevant Node.js frameworks)  
✅ **Databases:** MongoDB, PostgreSQL, MySQL  
✅ **API Development:** RESTful API, GraphQL (optional)  
✅ **Authentication \\& Security:** JWT, OAuth, data encryption  
✅ **DevOps \\& Tools:** Git, Docker (basic knowledge), CI/CD pipelines  
✅ **Testing:** Jest, Mocha, Chai (basic knowledge)

**Preferred Qualifications:**

* Bachelor’s degree in **Computer Science, IT, or a related field** (or equivalent experience).
* Experience working in an **Agile development environment**.
* Knowledge of **message queues (Redis, RabbitMQ, Kafka) is a plus**.
* Strong analytical and problem\\-solving skills.

Job Type: Full\\-time

Pay: ₹180,000\\.00 \\- ₹240,000\\.00 per month

Location Type:

* In\\-person

Schedule:

* Day shift

Work Location: In person

**Speak with the employer**  
\\+91 6379262735

",10000,Laabamone business solutions private limited
AI Backend Engineer/Distributed System Engineer-MTS/SMTS/LMTS,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/India---Bangalore/AI-Backend-Engineer-Distributed-System-Engineer-MTS-SMTS-LMTS_JR288126,24-03-2025,IN,FALSE,"Bengaluru, Karnataka","*To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.*

Job Category


Software Engineering
Job Details


**About Salesforce**

We’re Salesforce, the Customer Company, inspiring the future of business with AI\\+ Data \\+CRM. Leading with our core values, we help companies across every industry blaze new trails and connect with customers in a whole new way. And, we empower you to be a Trailblazer, too — driving your performance and career growth, charting new paths, and improving the state of the world. If you believe in business as the greatest platform for change and in companies doing well and doing good – you’ve come to the right place.


**Service Cloud by Salesforce is a revolutionary customer service platform designed to transform your business's approach to customer support. It empowers your team to deliver efficient, personalized customer service experiences across multiple channels, all in one unified platform. With Service Cloud, you can streamline workflows, automate routine tasks, and leverage AI\\-powered insights to drive customer satisfaction and loyalty. Whether it's faster case resolution, 360\\-degree customer views, or real\\-time analytics, Service Cloud is your key to unlocking exceptional customer service.**

**Join our dynamic team at Salesforce and make a real impact with your work! We’re looking for passionate individuals who want to shape the future of our products and deliver exceptional data driven experiences to our customers. Come be a part of our innovative and collaborative environment, where your skills will thrive and your ideas will be valued. Apply now and let’s build something extraordinary together!**

**We embrace the hybrid model and celebrate the individual strengths of each team member while encouraging everyone on the team to grow into the best version of themselves.**

**We believe that autonomous teams with the freedom to make decisions will empower individuals, products, companies, and customers to thrive.**

**Your Impact:**

**Our ideal candidate is passionate about crafting a new product to serve thousands of enterprise customers by using innovative technology in AI and striving for the best quality and throughput.**

**As part of this role, you will:**

* **Design, implement, test, and deliver highly scalable enterprise grade AI/ML solutions from the ground up.**
* **Lead the development of prototypes and rapid experimentation to evaluate new algorithms, models, or approaches, balancing time\\-to\\-market with long\\-term technical investments**
* **Operate optimally in the hybrid engineering model where engineers are encouraged to be able to craft and complete the vital work to ensure quality in their own code as well as other engineers**
* **Present your own designs to internal/external groups and review designs of others**
* **Develop test strategies, design automation frameworks, write unit/functional tests to drive up code coverage and automation metrics for AI/ML systems**
* **Participate in the team’s on\\-call rotation to address sophisticated problems in real\\-time and keep services operational and highly available**

**Required Skills:**

* **2 to 12 years of professional software development experience in implementing and operating AI/ML at scale.**
* **Proven understanding in at least one high\\-level programming language (C\\+\\+, Python, Go, etc.)**
* **Deep domain knowledge and expertise in AI/ML and data analysis is required.**
* **Experience in the** **ML lifecycle** **, including model training, deployment, inferencing, and the challenges associated with scaling AI products**
* **Proficiency in safe AI/ML rollout methodologies including canarying and A/B testing.**
* **Proven ability to design and architect complex, high\\-performance systems that support AI workloads**
* **Excellent interpersonal skills**
* **Degree or equivalent relevant experience required. Experience will be evaluated based on core competencies (e.g., extracurricular leadership roles, military experience, volunteer roles, work experience).**

**Preferred Skills:**

* **Strong technical expertise in** **Generative AI, particularly with** **RAG systems** **and** **Agentic workflows** **that use large language models.**
* **Experience with Agile software development and test\\-driven development.**
* **Track record of being a top performer in current and past roles**

**Benefits \\& Perks:**

**Check out our** **benefits site** **which explains our various benefits, including wellbeing reimbursement, generous parental leave, adoption assistance, fertility benefits, and more!**

Accommodations


If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .


Posting Statement


Salesforce is an equal opportunity employer and maintains a policy of non\\-discrimination with all employees and applicants for employment. What does that mean exactly? It means that at Salesforce, we believe in equality for all. And we believe we can lead the path to equality in part by creating a workplace that’s inclusive, and free from discrimination. Know your rights: workplace discrimination is illegal. Any employee or potential employee will be assessed on the basis of merit, competence and qualifications – without regard to race, religion, color, national origin, sex, sexual orientation, gender expression or identity, transgender status, age, disability, veteran or marital status, political viewpoint, or other classifications protected by law. This policy applies to current and prospective employees, no matter where they are in their Salesforce employment journey. It also applies to recruiting, hiring, job assignment, compensation, promotion, benefits, training, assessment of job performance, discipline, termination, and everything in between. Recruiting, hiring, and promotion decisions at Salesforce are fair and based on merit. The same goes for compensation, benefits, promotions, transfers, reduction in workforce, recall, training, and education.

",10000,Salesforce
AI Architect/ Senior AI Engineer_ LLMOps_ 6 to 10 yrs,https://fractal.wd1.myworkdayjobs.com/en-US/Careers/job/Bengaluru/AI-Architect--Senior-AI-Engineer--LLMOps--6-to-10-yrs_SR-30920,24-03-2025,IN,FALSE,"Bengaluru, Karnataka","It's fun to work in a company where people truly BELIEVE in what they are doing!*We're committed to bringing passion and customer focus to the business.*
It's fun to work in a company where people truly BELIEVE in what they are doing!*We're committed to bringing passion and customer focus to the business.*
Job Location:  

Bangalore, Mumbai, Pune, Gurgaon, Chennai, Noida, Hyderabad, Coimbatore  

Role Brief:* You will be building curated enterprise grade solutions for GenAI application deployment at a production scale for clients. Solid understanding and hands on skills for GenAI application deployment that includes development and engineering skills. The role requires development and engineering skills on GenAI application development including data ingestion, choosing the right fit LLMs, simple and advanced RAG, guardrails, prompt engineering for optimisation, traceability, security, LLM evaluation, observability, and deployment at scale on cloud or on premise. As this space evolves very rapidly, candidates must also demonstrate knowledge on agentic AI frameworks. Candidates having strong background on ML with engineering skills is highly preferred for LLMOps role

  

Required Qualifications:* 6\\-10 years of experience in working on ML projects that includes business requirement gathering, model development, training, deployment at scale and monitoring model performance for production use cases
* Strong knowledge on Python, NLP, Data Engineering, Langchain, Langtrace, Langfuse, RAGAS, AgentOps (optional)
* Should have worked on proprietary and open\\-source large language models
* Experience on LLM fine tuning, creating distilled model from hosted LLMs
* Building data pipelines for model training
* Experience on model performance tuning, RAG, guardrails, prompt engineering, evaluation, and observability
* Experience in GenAI application deployment on cloud and on\\-premises at scale for production
* Experience in creating CI/CD pipelines
* Working knowledge on Kubernetes
* Experience in minimum one cloud: AWS / GCP / Azure to deploy AI services
* Experience in creating workable prototypes using Agentic AI frameworks like CrewAI, Taskweaver, AutoGen
* Experience in light weight UI development using streamlit or chainlit (optional)
* Desired experience on open\\-source tools for ML development, deployment, observability, and integration
* Background on DevOps and MLOps will be a plus
* Experience working on collaborative code versioning tools like GitHub/GitLab
* Team player with good communication and presentation skills


EDUCATION:
B.E/B.Tech/M.Tech in Computer Science or related technical degree OR Equivalent.
If you like wild growth and working with happy, enthusiastic over\\-achievers, you'll enjoy your career with us!
Not the right fit? Let us know you're interested in a future opportunity by clicking *Introduce Yourself* in the top\\-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!
If you like wild growth and working with happy, enthusiastic over\\-achievers, you'll enjoy your career with us!
Not the right fit? Let us know you're interested in a future opportunity by clicking *Introduce Yourself* in the top\\-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!",10000,Fractal Analytics
Full Stack Developer,http://in.indeed.com/job/full-stack-developer-296830a15dfa224e,24-03-2025,IN,FALSE,"Chennai, Tamil Nadu","Experience : Minimum 6 Months Work Experience Maximum 1\\.5 Years Experience

Salary: Rs.12,000 to 18,000/ Per Month Based On Experience

We are seeking a highly skilled and motivated Full Stack Developer to join our dynamic team. The ideal candidate will have a strong passion for creating efficient, scalable, and user\\-friendly web applications. You will work on both the front\\-end and back\\-end components, ensuring seamless integration and high performance.

**Key Responsibilities:**

* Develop, test, and maintain web applications using modern frameworks and technologies.
* Design and implement user interfaces with a focus on usability and responsiveness.
* Build and maintain server\\-side applications and APIs.
* Collaborate with cross\\-functional teams to define, design, and deliver new features.
* Optimize applications for performance, scalability, and security.
* Troubleshoot, debug, and upgrade existing systems.
* Stay up\\-to\\-date with emerging trends, technologies, and best practices in web development.

**Required Skills and Qualifications:**

* Bachelor’s degree in Computer Science, Information Technology, or a related field.
* Proven experience as a Full Stack Developer or a similar role.
* Proficiency in front\\-end technologies: HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
* Strong knowledge of back\\-end technologies: Node.js, Python, Ruby, or PHP, and frameworks like Express, Django, or Laravel.
* Experience with databases: SQL (MySQL, PostgreSQL) and NoSQL (MongoDB).
* Familiarity with version control systems like Git.
* Understanding of RESTful APIs and web services.
* Knowledge of cloud services (AWS, Azure, or Google Cloud) is a plus.
* Excellent problem\\-solving skills and attention to detail.
* Strong in WordPress, Shopify is Added Advantages

Job Types: Full\\-time, Permanent

Pay: ₹12,000\\.00 \\- ₹18,000\\.00 per month

Work Location: In person

",10000,Optimista Training and Development India Pvt Ltd
Staff Engineer-Frontend,https://jobs.smartrecruiters.com/Experian/744000049531430-staff-engineer-frontend,24-03-2025,IN,FALSE,"Hyderabad, Telangana","**Company Description**  

Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, create marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to realize their financial goals and help them save time and money.


We operate across a range of markets, from financial services to healthcare, automotive, agribusiness, insurance, and many more industry segments.


We invest in people and new advanced technologies to unlock the power of data. As a FTSE 100 Index company listed on the London Stock Exchange (EXPN), we have a team of 22,500 people across 32 countries. Our corporate headquarters are in Dublin, Ireland. Learn more at experianplc.com.

 **Job Description** **Job description:**


We are looking for FE Staff Engineer who designs, developing, building web tier applications along with AWS technologies background to work with our new platform and to support maintenance activities.


ECS Engineers are hands\\-on coders and high\\-level designers and thinkers \\- they develop an understanding of our existing platform and transforming into new technologies for maintainability in a high\\-activity environment, and for designing the integrations between various systems.

**Responsibilities:**

* Offer insights and analysis on existing codebase.
* Performance considerations are second nature.
* You will Work in a collaborative environment.
* You will report to Manager.
* Participates in the estimates for projects based on interface wireframes/desired functionality.
* Reviews code written by Senior/Junior Engineers.
* Provide coaching to junior engineers on software engineering best practices.
* Develop re\\-usable patterns and to promote collaboration.
* Research latest topics related to assigned tasks and come up with good solutions.
* Participate in all important project meetings.
* Provide appropriate research to support business and information technology groups.
* Advises on options, impact on other business processes, and system priorities.
* Prioritize assigned tasks and keep manager up to date on status and roadblocks.

  

**Qualifications** **Qualifications**

* 9 to 11 years' experience with front\\-end development using JavaScript, ES6, TypeScript, HTML, CSS/SCSS, responsive design.
* 6\\+ years of related experience building efficient, maintainable, robust, and scalable applications using associated frameworks.
* 4\\+ years' experience building responsive, single page web applications using React/Redux, React Hooks experience.
* Experience on technologies like server\\-side rendering and MFE's.
* Experience in design and implementation of new architectures and re\\-usable patterns is a plus.
* Bachelor's degree or equivalent experience.
* Typically requires 10\\+ years of experience.
* The job is based out Hyderabad location

  

**Additional Information**  

Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward \\& recognition, volunteering... the list goes on. Experian's people first approach is award\\-winning; World's Best Workplaces™ 2024 (Fortune Top 25\\), Great Place To Work™ in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.


Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.


\\#LI\\-Onsite

***Benefits***

*Experian care for employee's work life balance, health, safety and wellbeing.*

*1\\) In support of this endeavor, we offer the best family well\\-being benefits,*

*2\\) Enhanced medical benefits and paid time off.*


Experian Careers \\- Creating a better tomorrow together


Find out what its like to work for Experian by clicking here

",10000,Experian
Senior Frontend (ReactJS) Developer,https://irisidea.com/senior-frontend-reactjs-developer/,24-03-2025,IN,TRUE,Remote,"### **Designation**

Senior Frontend (ReactJS) Developer


### **Budget**

As Per Market Standard


### **Experience:**

10\\+ years


### **Primary Skills:**

ReactJS, React Hooks, Context API, Strong proficiency in JavaScript and TypeScript, Redux, Saga, Jest, HTML5, CSS/SAAS, RESTful API integration, Frontend testing best practices


### **Relevant Exp.**

10 Years


### **No. of Positions**

1


### **Work Location(s):**

Remote


**Role \\& Responsibilities**
----------------------------


* Ability to Translate business requirements into technical solutions
* Thorough understanding of React.js and its core principles
* Experience with newer capabilities of React.js, such as React Hooks and the Context API
* Experience interfacing with RESTful APIs
* Strong understanding of the fundamentals of unit testing
* Build reusable, efficient, and scalable components using ReactJS
* Leverage React Hooks, Context API, Redux, Saga, and Jest to create cutting\\-edge applications
* Develop and implement responsive, user\\-friendly UI with HTML5, CSS/SAAS, and TypeScript
* Work with RESTful APIs to integrate back\\-end services
* Focus on building robust unit tests and ensuring the highest code quality standards
* Contribute to micro frontends and optimize frontend workflows for better scalability
**Skills/Experience**
---------------------


**Technologies**
----------------


* ReactJS, React Hooks, Context API
* Strong proficiency in JavaScript and TypeScript
* Redux, Saga, Jest, HTML5, CSS/SAAS
* RESTful API integration
* Frontend testing best practices


**Secondary Skills**
--------------------


* Experience with modern frontend build tools.
* Experience with micro frontends is a plus!


**Education**
-------------


Graduation or post\\-graduation


**Functional Area**
-------------------


Product Development


### **Notice Period:**

0 \\- 15 days


### **Mail to:**

### **Posted On:**

24/03/2025


### **Job Status:**

Open

",10000,Irisidea TechSolutions Private Limited
Software Engineer-Java full stack developer,https://www.capgemini.com/jobs/LmBDx5UBcc4HB4rTyQ74/150182-en_GB/,24-03-2025,IN,FALSE,"Bengaluru, Karnataka","**Job Description**
-------------------

Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.
  

1\\. Applies scientific methods to analyse and solve software engineering problems.
  

2\\. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.
  

3\\. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.
  

4\\. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.
  

5\\. The software engineer collaborates and acts as team player with other software engineers and stakeholders.


Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.1\\. Applies scientific methods to analyse and solve software engineering problems.2\\. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.3\\. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.4\\. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.5\\. The software engineer collaborates and acts as team player with other software engineers and stakeholders.
**Job Description \\- Grade Specific**
-------------------------------------

Has more than a year of relevant work experience. Solid understanding of programming concepts, software design and software development principles. Consistently works to direction with minimal supervision, producing accurate and reliable results. Individuals are expected to be able to work on a range of tasks and problems, demonstrating their ability to apply their skills and knowledge. Organises own time to deliver against tasks set by others with a mid term horizon. Works co\\-operatively with others to achieve team goals and has a direct and positive impact on project performance and make decisions based on their understanding of the situation, not just the rules.
**Skills (competencies)**
-------------------------

Verbal Communication",10000,Capgemini Engineering
Full Stack Developer,http://in.indeed.com/job/full-stack-developer-4805dba2ec72d525,24-03-2025,IN,FALSE,"Ellis Nagar, Madurai, Tamil Nadu","**Job description**

**Job Title: Technical Lead / Senior Team Lead**

**Experience Required: 3\\+ Years**

**Job Description:**

We are looking for a highly skilled Technical Lead / Senior Team Lead with over 3 years of experience to join our team. The ideal candidate will have strong expertise in modern programming languages and frameworks, along with leadership experience to manage a development team and ensure high\\-quality project delivery.

**Key Responsibilities:**

* Lead and mentor a team of developers, ensuring timely and quality delivery of projects.
* Collaborate with cross\\-functional teams to define, design, and ship new features.
* Provide technical guidance, conduct code reviews, and enforce best practices.
* Develop and maintain applications using **JavaScript**, **Node.js**, **MongoDB**, **React.js**, and **Python**.
* Ensure scalable and high\\-performance backend architecture.
* Optionally, contribute to projects involving **blockchain technology**.
* Identify risks and opportunities related to projects and propose solutions.

Job Type: Full\\-time

Pay: ₹20,000\\.00 \\- ₹40,000\\.00 per month

Experience Required: 2\\+ year (Preferred)

Note: Preferred Madurai candidates.

Submit your resume to: hr@beleaftechnologies.com

Address: No.5/24, Bharathiyar 7th St, S S Colony, Madurai, Tamil Nadu – 625016\\.

Contact Us: \\+91 760 398 0269

Visit Us: www.beleaftechnologies.com

Be part of our exciting journey! / Know someone perfect for this role? Tag them below!

Warm regards,

Priyavel

HR, Beleaf Technologies

Job Type: Full\\-time

Pay: ₹20,000\\.00 \\- ₹40,000\\.00 per month

Experience:

* total work: 3 years (Required)

Work Location: In person

",10000,Beleaf Technologies
NodeJS- BackEnd Developer(8+yrs),http://in.indeed.com/job/nodejs-backend-developer8yrs-fdbc6b213bf48f95,24-03-2025,IN,TRUE,Remote,"Urgent opening for NodeJS\\- BackEnd Developer

Position:Node js Backend Developer

EXP: 8\\+years

Location:Bangalore ,Hyderabad (Hybrid)Other Locations:Mumbai,Pune,Chennai,Kolkata,Gurgaon(hybrid)

Mandatory skills:NodeJs,AWs

Tech stack table

Skills Experience

Nodejs

AWS

ExpressJS,

Kubernetes,

API Gateway,

DynamoDB

Job profile nodeJS Back\\-End Developer, AWS,Our Software Engineering Team is growing fast, and we've optimizing web pages for maximum efficiency and maintaining brand consistency across all products. The role will be required to lead the Back\\-End Development team alongside Front\\-End Development, Design and Product Development team to ensure all components and elements displayed on screens are consistent and delivered in the most consistent and efficient way.Responsibilities• Alignment and communicating between all teams such as Back\\-end Development, Design and Product Development team to ensure the success of each development sprints.

Perform planning for all front\\-end related projects

Design, implement and maintain back\\-end system

Ensuring all components and code base are consistent, secured and meeting the industry standards

Ensuring the back\\-end are optimized for all screens for maximum speed and scalability

R\\&D and introducing new features to enhance user experiences

Ensuring all codes and components are reusable code for future use

Consistently performing code review

Applying and practicing SCRUM ceremonies for each of the projects

Motivate and mentoring the team members

Qualifications

* Experience with Backend Technologies like ExpressJS, Kubernetes, API Gateway, DynamoDB and other AWS Services
* 4\\-5 experience in back\\-end development, experience with front\\-end development will be a plus.

Excellent verbal and interpersonal skills

Good understanding of key UI/UX design principles

* Good exposure to many of the latest technologies which include NodeJS and cloud architecture

Excellent knowledge of data structures and algorithms

Keen to deliver quality and testable code by planning, documentation, coding standards, unit testing, and integration testing

Fluent in Git

Must have a very good understanding and experience of seamless CI/CD end to end to achieve one\\-click delivery

Excellent exposure to Agile Methodologies especially Scrum

Able to conduct all SCRUM ceremonies

Passion for developing new ideas and approaches, for demonstrable and sustainable continuous improvement

Ability to work collaboratively in a team environment, experienced with multi\\-cultural environments

Job Types: Full\\-time, Permanent

Pay: ₹1,500,000\\.00 \\- ₹1,700,000\\.00 per year

Location Type:

* Remote

Schedule:

* Day shift

Work Location: Remote

**Speak with the employer**  
\\+91 8779640704

",10000,Jinendra infotech pvt ltd.
